15.7611,15.5916
9.5511,11.9658
14.4397,16.1712
10.6453,16.2830
15.5788,15.0370
10.4118,7.0526
7.9796,10.4664
8.2408,14.5766
16.6576,7.5453
13.8467,15.9520
16.2736,12.3037
16.0539,8.2570
9.9516,14.8052
14.4754,10.8441
12.9656,12.1566
8.3394,8.4621
7.9405,8.7432
11.1968,15.0119
11.4189,9.5639
11.1418,14.7192
7.2354,13.2161
8.2091,11.9414
6.8924,11.1585
7.8965,12.7939
14.0293,14.3975
10.7999,11.9719
15.2180,11.8224
14.0511,8.5108
9.8586,10.5626
7.5390,13.5377
13.6461,10.5272
16.1072,15.5208
15.7510,7.6526
10.4623,9.6817
11.9766,8.7009
12.1543,12.5722
16.0150,8.4135
13.4399,15.4883
11.8985,12.1552
14.8466,12.3837
12.9043,12.3431
11.7072,14.9395
11.5862,9.0285
11.3034,11.0050
10.3141,16.7353
7.2741,14.7507
12.1362,7.8027
10.8814,16.1626
15.3856,8.8608
8.4613,9.0206
12.5876,15.2278
14.9543,12.7087
10.0664,11.2743
12.2264,7.5123
11.8674,8.0214
11.4643,14.1414
15.3932,11.1332
13.3884,14.5702
13.9861,9.5154
9.6016,14.3150
10.5121,14.8956
10.7870,7.0766
5.4069,0.55657
6.8825,3.9115
11.708,5.3854
5.7737,2.4406
7.8247,6.7318
7.0931,1.0463
5.0702,5.1337
5.8014,1.844
11.7,8.0043
5.5416,1.0179
7.5402,6.7504
5.3077,1.8396
7.4239,4.2885
7.6031,4.9981
6.3328,1.4233
6.3589,-1.4211
6.2742,2.4756
5.6397,4.6042
9.3102,3.9624
9.4536,5.4141
8.8254,5.1694
5.1793,-0.74279
21.279,17.929
14.908,12.054
18.959,17.054
7.2182,4.8852
8.2951,5.7442
10.236,7.7754
5.4994,1.0173
20.341,20.992
10.136,6.6799
7.3345,4.0259
6.0062,1.2784
7.2259,3.3411
5.0269,-2.6807
6.5479,0.29678
7.5386,3.8845
5.0365,5.7014
10.274,6.7526
5.1077,2.0576
5.7292,0.47953
5.1884,0.20421
6.3557,0.67861
9.7687,7.5435
6.5159,5.3436
8.5172,4.2415
9.1802,6.7981
6.002,0.92695
5.5204,0.152
5.0594,2.8214
5.7077,1.8451
7.6366,4.2959
5.8707,7.2029
5.3054,1.9869
8.2934,0.14454
13.394,9.0551
5.4369,0.61705
7.1233,2.5690
6.1101,17.592
5.5277,9.1302
8.5186,13.662
7.0032,11.854
5.8598,6.8233

